# source: CBSA ECCRD CERS ch.25 Table 1 (CBSA office codes), fetched 2026-09-07
# https://www.cbsa-asfc.gc.ca/prog/cers-scde/ch25/eccrdcers-deccescde-20-eng.html
# Every active office in the published table (commented-out/decommissioned rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACI,cbsa_office,0009,Halifax Commercial,NS,CA,
ACI,cbsa_office,0021,Sydney,NS,CA,
ACI,cbsa_office,0025,Yarmouth,NS,CA,
ACI,cbsa_office,0026,Halifax - Stanfield Intl Airport,NS,CA,
ACI,cbsa_office,0101,Charlottetown,PE,CA,
ACI,cbsa_office,0200,Bloomfield,NB,CA,
ACI,cbsa_office,0201,Bathurst,NB,CA,
ACI,cbsa_office,0204,Fredericton,NB,CA,
ACI,cbsa_office,0205,St. Croix,NB,CA,
ACI,cbsa_office,0206,Moncton,NB,CA,
ACI,cbsa_office,0210,"Saint John, New Brunswick",NB,CA,
ACI,cbsa_office,0212,Woodstock Road,NB,CA,
ACI,cbsa_office,0213,Edmundston,NB,CA,
ACI,cbsa_office,0214,Andover,NB,CA,
ACI,cbsa_office,0215,Centreville,NB,CA,
ACI,cbsa_office,0216,Clair,NB,CA,
ACI,cbsa_office,0217,"Grand Falls, New Brunswick",NB,CA,
ACI,cbsa_office,0218,St. Leonard,NB,CA,
ACI,cbsa_office,0219,Gillespie Portage,NB,CA,
ACI,cbsa_office,0220,Fosterville,NB,CA,
ACI,cbsa_office,0222,Forest City,NB,CA,
ACI,cbsa_office,0225,Campobello,NB,CA,
ACI,cbsa_office,0226,River de Chute,NB,CA,
ACI,cbsa_office,0231,St. Stephen 3rd Bridge,NB,CA,
ACI,cbsa_office,0301,Saguenay,QC,CA,
ACI,cbsa_office,0302,Herdman,QC,CA,
ACI,cbsa_office,0304,Gaspé,QC,CA,
ACI,cbsa_office,0312,Québec,QC,CA,
ACI,cbsa_office,0314,Stanstead - Highway 55,QC,CA,
ACI,cbsa_office,0317,Sorel,QC,CA,
ACI,cbsa_office,0322,Trois-Rivières,QC,CA,
ACI,cbsa_office,0323,Valleyfield,QC,CA,
ACI,cbsa_office,0328,St-Armand/Philipsburg,QC,CA,
ACI,cbsa_office,0329,Armstrong,QC,CA,
ACI,cbsa_office,0338,Port-Cartier,QC,CA,
ACI,cbsa_office,0351,St-Bernard-de-Lacolle: Hwy 15,QC,CA,
ACI,cbsa_office,0354,Stanhope,QC,CA,
ACI,cbsa_office,0355,Baie-Comeau,QC,CA,
ACI,cbsa_office,0361,Sept-Îles,QC,CA,
ACI,cbsa_office,0363,Cap-Aux-Meules,QC,CA,
ACI,cbsa_office,0395,Montréal,QC,CA,
ACI,cbsa_office,0396,Montréal Int'l Air-P.E Trudeau,QC,CA,
ACI,cbsa_office,0399,Montréal-Mirabel Int'l Airport,QC,CA,
ACI,cbsa_office,0401,Kitchener-Waterloo In't Airport,ON,CA,
ACI,cbsa_office,0403,Iqaluit Airport,NU,CA,
ACI,cbsa_office,0409,Cornwall Traffic Office,ON,CA,
ACI,cbsa_office,0410,Fort Erie - (Peace Bridge),ON,CA,
ACI,cbsa_office,0417,Hamilton - CBSA Office/Intl Arpt,ON,CA,
ACI,cbsa_office,0423,London CBSA Office/Int'l Arpt,ON,CA,
ACI,cbsa_office,0427,Niagara Falls/Queenston Bridge,ON,CA,
ACI,cbsa_office,0439,Prescott,ON,CA,
ACI,cbsa_office,0440,Sarnia (Blue Water Bridge),ON,CA,
ACI,cbsa_office,0441,Sault Ste. Marie Bridge,ON,CA,
ACI,cbsa_office,0452,Windsor-Detroit Tunnel,ON,CA,
ACI,cbsa_office,0453,Windsor - Ambassador Bridge,ON,CA,
ACI,cbsa_office,0455,Gordie Howe International Bridge,ON,CA,
ACI,cbsa_office,0456,Lansdowne/1000 Islands Bridge,ON,CA,
ACI,cbsa_office,0461,Thunder Bay,ON,CA,
ACI,cbsa_office,0475,Pigeon River,ON,CA,
ACI,cbsa_office,0478,Fort Frances Bridge,ON,CA,
ACI,cbsa_office,0485,Ottawa Cargo Services (OCS),ON,CA,
ACI,cbsa_office,0488,Rainy River,ON,CA,
ACI,cbsa_office,0497,Toronto International Airport Comm. Ops.,ON,CA,
ACI,cbsa_office,0502,Emerson,MB,CA,
ACI,cbsa_office,0504,Winnipeg,MB,CA,
ACI,cbsa_office,0505,Sprague,MB,CA,
