# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,0101,PORTLAND,ME,US,
ACE,port_of_entry,0102,BANGOR,ME,US,
ACE,port_of_entry,0103,EASTPORT,ME,US,
ACE,port_of_entry,0104,JACKMAN,ME,US,
ACE,port_of_entry,0105,VANCEBORO,ME,US,
ACE,port_of_entry,0106,HOULTON,ME,US,
ACE,port_of_entry,0107,FORT FAIRFIELD,ME,US,
ACE,port_of_entry,0108,VAN BUREN,ME,US,
ACE,port_of_entry,0109,MADAWASKA,ME,US,
ACE,port_of_entry,0110,FORT KENT,ME,US,
ACE,port_of_entry,0111,BATH,ME,US,
ACE,port_of_entry,0112,BAR HARBOR,ME,US,
ACE,port_of_entry,0115,CALAIS,ME,US,
ACE,port_of_entry,0118,LIMESTONE,ME,US,
ACE,port_of_entry,0121,ROCKLAND,ME,US,
ACE,port_of_entry,0122,JONESPORT,ME,US,
ACE,port_of_entry,0127,BRIDGEWATER,ME,US,
ACE,port_of_entry,0131,PORTSMOUTH,NH,US,
ACE,port_of_entry,0152,SEARSPORT,ME,US,
ACE,port_of_entry,0182,MANCHESTER USER FEE AIRPORT,NH,US,
ACE,port_of_entry,0201,ST. ALBANS,VT,US,
ACE,port_of_entry,0203,RICHFORD,VT,US,
ACE,port_of_entry,0206,BEECHER FALLS,VT,US,
ACE,port_of_entry,0207,BURLINGTON,VT,US,
ACE,port_of_entry,0209,DERBY LINE,VT,US,
ACE,port_of_entry,0211,NORTON,VT,US,
ACE,port_of_entry,0212,HIGHGATE SPRINGS/ALBURG,VT,US,
ACE,port_of_entry,0401,BOSTON,MA,US,
ACE,port_of_entry,0402,SPRINGFIELD,MA,US,
ACE,port_of_entry,0403,WORCESTER,MA,US,
ACE,port_of_entry,0404,GLOUCESTER,MA,US,
ACE,port_of_entry,0405,NEW BEDFORD,MA,US,
ACE,port_of_entry,0406,PLYMOUTH,MA,US,
ACE,port_of_entry,0407,FALL RIVER,MA,US,
ACE,port_of_entry,0408,SALEM,MA,US,
ACE,port_of_entry,0410,BRIDGEPORT,CT,US,
ACE,port_of_entry,0411,HARTFORD. CT,,US,
ACE,port_of_entry,0412,NEW HAVEN,CT,US,
ACE,port_of_entry,0413,NEW LONDON,CT,US,
ACE,port_of_entry,0416,LAWRENCE,MA,US,
ACE,port_of_entry,0417,LOGAN AIRPORT,MA,US,
ACE,port_of_entry,0481,L.G. HANSCOM FIELD,MA,US,
ACE,port_of_entry,0501,NEWPORT,RI,US,
ACE,port_of_entry,0502,PROVIDENCE,RI,US,
ACE,port_of_entry,0503,MELLVILLE,RI,US,
ACE,port_of_entry,0701,OGDENSBURG,NY,US,
ACE,port_of_entry,0704,MASSENA,NY,US,
ACE,port_of_entry,0706,CAPE VINCENT,NY,US,
ACE,port_of_entry,0708,ALEXANDRIA BAY,NY,US,
ACE,port_of_entry,0712,CHAMPLAIN-ROUSES POINT,NY,US,
ACE,port_of_entry,0714,CLAYTON,NY,US,
ACE,port_of_entry,0715,TROUT RIVER,NY,US,
ACE,port_of_entry,0901,BUFFALO-NIAGARA FALLS,NY,US,
ACE,port_of_entry,0903,ROCHESTER,NY,US,
ACE,port_of_entry,0904,OSWEGO,NY,US,
ACE,port_of_entry,0905,SODUS POINT,NY,US,
ACE,port_of_entry,0906,SYRACUSE,NY,US,
ACE,port_of_entry,0981,BINGHAMTON REGIONAL AIRPORT,NY,US,
ACE,port_of_entry,0983,"ITHICA TOMPKINS INTL AIR, ITHACA",NY,US,
ACE,port_of_entry,1001,NEW YORK,NY,US,
ACE,port_of_entry,1002,ALBANY,NY,US,
ACE,port_of_entry,1003,NEWARK,NJ,US,
ACE,port_of_entry,1004,PERTH AMBOY,NJ,US,
ACE,port_of_entry,1012,JOHN F KENNEDY INTL AIRPORT,NY,US,
ACE,port_of_entry,1068,NEWARK FEDEX ECCF,NJ,US,
ACE,port_of_entry,1069,"UPS, NEWARK",NJ,US,
ACE,port_of_entry,1071,"NYACC, JAMAICA",NY,US,
ACE,port_of_entry,1072,"DHL, JAMAICA",NY,US,
ACE,port_of_entry,1073,"EMERY WORLDWIDE, JAMAICA",NY,US,
ACE,port_of_entry,1074,"AIR FRANCE (MACH PLUS), JAMAICA",NY,US,
ACE,port_of_entry,1078,"TNT SKYPAK, JAMAICA",NY,US,
ACE,port_of_entry,1081,MORRISTOWN AIRPORT,NJ,US,
ACE,port_of_entry,1101,PHILADELPHIA,PA,US,
ACE,port_of_entry,1102,CHESTER,PA,US,
ACE,port_of_entry,1103,WILMINGTON,DE,US,
ACE,port_of_entry,1104,PITTSBURGH,PA,US,
ACE,port_of_entry,1106,WILKES-BARRE/SCRANTON,PA,US,
ACE,port_of_entry,1108,PHILA. INTL. AIRPORT,PA,US,
ACE,port_of_entry,1109,HARRISBURG,PA,US,
ACE,port_of_entry,1113,GLOUCESTER CITY,NJ,US,
ACE,port_of_entry,1119,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)",,US,
ACE,port_of_entry,1182,ATLANTIC CITY REGIONAL AIRPORT,NJ,US,
ACE,port_of_entry,1183,TRENTON/MERCER COUNTY AIRPORT,NJ,US,
ACE,port_of_entry,1195,"UPS, PHILADELPHIA",PA,US,
ACE,port_of_entry,1301,ANNAPOLIS,MD,US,
ACE,port_of_entry,1302,CAMBRIDGE,MD,US,
